character,absolute_count,relative_frequency
!,1166,0.005234
(,56,0.000251
),56,0.000251
*,69,0.000310
,,5183,0.023266
-,525,0.002357
.,1559,0.006998
0,12,0.000054
1,92,0.000413
2,8,0.000036
3,2,0.000009
4,1,0.000004
5,4,0.000018
6,9,0.000040
7,3,0.000013
8,7,0.000031
9,57,0.000256
:,268,0.001203
;,1074,0.004821
?,337,0.001513
A,23246,0.104351
B,4541,0.020384
C,5645,0.025340
D,8737,0.039220
F,4564,0.020488
G,7657,0.034372
H,10403,0.046699
I,18727,0.084065
J,489,0.002195
K,2500,0.011222
L,11278,0.050627
M,4414,0.019814
N,18251,0.081928
O,22097,0.099193
P,4049,0.018176
Q,109,0.000489
R,10110,0.045384
S,14785,0.066369
T,18018,0.080882
U,8830,0.039638
V,686,0.003079
W,5930,0.026620
X,165,0.000741
Y,6737,0.030242
Z,228,0.001023
[,42,0.000189
],42,0.000189
