key,count,normalized_count,x,y,mapped_points
!,1166,0.005234,90,120,2
(,56,0.000251,524,120,2
),56,0.000251,579,120,2
*,69,0.00031,469,120,2
",",5183,0.023266,536,275,1
-,525,0.002357,630,120,1
.,1559,0.006998,590,275,1
0,12,5.4e-05,579,120,1
1,92,0.000413,90,120,1
2,8,3.6e-05,144,120,1
3,2,9e-06,198,120,1
4,1,4e-06,253,120,1
5,4,1.8e-05,307,120,1
6,9,4e-05,361,120,1
7,3,1.3e-05,415,120,1
8,7,3.1e-05,469,120,1
9,57,0.000256,524,120,1
:,268,0.001203,616,225,2
;,1074,0.004821,616,225,1
?,337,0.001513,644,275,2
A,23246,0.104351,130,225,1
B,4541,0.020384,374,275,1
C,5645,0.02534,266,275,1
D,8737,0.03922,238,225,1
F,4564,0.020488,292,225,1
G,7657,0.034372,346,225,1
H,10403,0.046699,400,225,1
I,18727,0.084065,494,174,1
J,489,0.002195,454,225,1
K,2500,0.011222,508,225,1
L,11278,0.050627,562,225,1
M,4414,0.019814,482,275,1
N,18251,0.081928,428,275,1
O,22097,0.099193,548,174,1
P,4049,0.018176,602,174,1
Q,109,0.000489,115,174,1
R,10110,0.045384,278,174,1
S,14785,0.066369,184,225,1
T,18018,0.080882,332,174,1
U,8830,0.039638,440,174,1
V,686,0.003079,320,275,1
W,5930,0.02662,169,174,1
X,165,0.000741,212,275,1
Y,6737,0.030242,386,174,1
Z,228,0.001023,158,275,1
[,42,0.000189,656,174,1
],42,0.000189,710,174,1
