key,count,normalized_count,x,y,mapped_points
!,482,0.001131,90,120,2
&,2,5e-06,415,120,2
(,32,7.5e-05,524,120,2
),32,7.5e-05,579,120,2
",",8099,0.018998,536,275,1
-,273,0.00064,630,120,1
.,5540,0.012995,590,275,1
0,5,1.2e-05,579,120,1
1,27,6.3e-05,90,120,1
2,5,1.2e-05,144,120,1
3,6,1.4e-05,198,120,1
4,15,3.5e-05,253,120,1
5,3,7e-06,307,120,1
6,2,5e-06,361,120,1
7,6,1.4e-05,415,120,1
8,4,9e-06,469,120,1
9,10,2.3e-05,524,120,1
:,181,0.000425,616,225,2
;,107,0.000251,616,225,1
?,765,0.001794,644,275,2
A,26016,0.061026,130,225,1
B,7373,0.017295,374,275,1
C,14020,0.032887,266,275,1
D,19051,0.044688,238,225,1
E,65898,0.154578,224,174,1
F,7045,0.016526,292,225,1
G,11946,0.028022,346,225,1
H,24051,0.056417,400,225,1
I,30450,0.071427,494,174,1
J,843,0.001977,454,225,1
K,5427,0.01273,508,225,1
L,15447,0.036234,562,225,1
M,11378,0.026689,482,275,1
N,40721,0.09552,428,275,1
O,10463,0.024543,548,174,1
P,3166,0.007427,602,174,1
Q,232,0.000544,115,174,1
R,31272,0.073355,278,174,1
S,27455,0.064401,184,225,1
T,24586,0.057672,332,174,1
U,16159,0.037904,440,174,1
V,3006,0.007051,320,275,1
W,7685,0.018027,169,174,1
X,66,0.000155,212,275,1
Y,2202,0.005165,386,174,1
Z,4713,0.011055,158,275,1
_,43,0.000101,630,120,2
