key,count,normalized_count,x,y,mapped_points
!,477,0.001369,90,120,2
',16,4.6e-05,670,225,1
(,30,8.6e-05,524,120,2
),30,8.6e-05,579,120,2
*,9,2.6e-05,469,120,2
",",5655,0.016229,536,275,1
-,360,0.001033,630,120,1
.,5418,0.015549,590,275,1
0,1,3e-06,579,120,1
1,32,9.2e-05,90,120,1
2,3,9e-06,144,120,1
3,6,1.7e-05,198,120,1
4,6,1.7e-05,253,120,1
5,2,6e-06,307,120,1
6,1,3e-06,361,120,1
7,4,1.1e-05,415,120,1
8,1,3e-06,469,120,1
9,3,9e-06,524,120,1
:,69,0.000198,616,225,2
;,135,0.000387,616,225,1
?,759,0.002178,644,275,2
A,26613,0.076374,130,225,1
B,5328,0.01529,374,275,1
C,6707,0.019248,266,275,1
D,16631,0.047728,238,225,1
E,39976,0.114723,224,174,1
F,6853,0.019667,292,225,1
G,8617,0.024729,346,225,1
H,22578,0.064794,400,225,1
I,20816,0.059738,494,174,1
J,370,0.001062,454,225,1
K,4009,0.011505,508,225,1
L,14597,0.04189,562,225,1
M,7396,0.021225,482,275,1
N,21848,0.062699,428,275,1
O,26184,0.075143,548,174,1
P,5575,0.015999,602,174,1
Q,420,0.001205,115,174,1
R,21751,0.062421,278,174,1
S,19754,0.05669,184,225,1
T,29082,0.083459,332,174,1
U,9754,0.027992,440,174,1
V,2907,0.008342,320,275,1
W,8397,0.024098,169,174,1
X,383,0.001099,212,275,1
Y,8630,0.024766,386,174,1
Z,264,0.000758,158,275,1
