key,count,normalized_count,x,y,mapped_points
",",30,0.01853,536,275,1
-,1,0.000618,630,120,1
.,13,0.00803,590,275,1
0,1,0.000618,579,120,1
1,1,0.000618,90,120,1
6,1,0.000618,361,120,1
9,1,0.000618,524,120,1
;,11,0.006794,616,225,1
A,163,0.100679,130,225,1
B,29,0.017912,374,275,1
C,55,0.033972,266,275,1
D,57,0.035207,238,225,1
F,30,0.01853,292,225,1
G,39,0.024089,346,225,1
H,79,0.048796,400,225,1
I,153,0.094503,494,174,1
J,1,0.000618,454,225,1
K,11,0.006794,508,225,1
L,80,0.049413,562,225,1
M,37,0.022854,482,275,1
N,139,0.085855,428,275,1
O,167,0.10315,548,174,1
P,33,0.020383,602,174,1
Q,1,0.000618,115,174,1
R,67,0.041384,278,174,1
S,112,0.069179,184,225,1
T,152,0.093885,332,174,1
U,61,0.037678,440,174,1
V,3,0.001853,320,275,1
W,37,0.022854,169,174,1
Y,52,0.032119,386,174,1
[,1,0.000618,656,174,1
],1,0.000618,710,174,1
