key,count,normalized_count,x,y,mapped_points
#,7,0.00412,198,120,2
&,2,0.001177,415,120,2
(,5,0.002943,524,120,2
),9,0.005297,579,120,2
",",15,0.008829,536,275,1
-,14,0.00824,630,120,1
.,20,0.011772,590,275,1
/,7,0.00412,644,275,1
0,4,0.002354,579,120,1
1,7,0.00412,90,120,1
2,14,0.00824,144,120,1
3,2,0.001177,198,120,1
4,1,0.000589,253,120,1
5,5,0.002943,307,120,1
6,2,0.001177,361,120,1
:,10,0.005886,616,225,2
;,1,0.000589,616,225,1
A,109,0.064155,130,225,1
B,58,0.034138,374,275,1
C,24,0.014126,266,275,1
D,65,0.038258,238,225,1
E,251,0.147734,224,174,1
F,30,0.017657,292,225,1
G,64,0.037669,346,225,1
H,37,0.021778,400,225,1
I,121,0.071218,494,174,1
J,3,0.001766,454,225,1
K,23,0.013537,508,225,1
L,71,0.041789,562,225,1
M,39,0.022955,482,275,1
N,167,0.098293,428,275,1
O,51,0.030018,548,174,1
P,21,0.01236,602,174,1
Q,2,0.001177,115,174,1
R,116,0.068275,278,174,1
S,82,0.048264,184,225,1
T,97,0.057092,332,174,1
U,72,0.042378,440,174,1
V,24,0.014126,320,275,1
W,18,0.010594,169,174,1
X,5,0.002943,212,275,1
Y,3,0.001766,386,174,1
Z,21,0.01236,158,275,1
